order_number,departure_date,route,itinerary,carrier,operating_carriers,supplier,flight_type,device,no_of_pax,total_margin,channel_fee,total_purchase,ancillary_margin,commission,overrides,surcharge,date
BIT-4339536,2023-03-24,Italy - Spain,FCO-MAD,AZ,AZ,TXIT,One Way,Desktop,1,0.1239486000000092,-5.0,129.96,0.0,2.52,0.4974000000000001,0.0,2023-03-01
BIT-4339625,2023-06-16,Italy - Italy,CTA-BRI-CTA,FR,FR | FR,TF,Return,Desktop,1,-5.039430600000006,-5.0,117.9,0.0,0.0,0.0,0.1,2023-03-01
BIT-4339652,2023-03-24,Italy - Italy,NAP-TRN,FR,FR,TF,One Way,Mobile,1,-6.170234099999999,-5.0,19.02,0.0,0.0,0.0,0.0,2023-03-01
BIT-4339654,2023-07-09,Italy - Spain,VRN-IBZ-VRN,NO,NO|NO,TXUS,Return,Mobile,2,10.03564620720004,-18.0,613.1045448,0.0,11.4725952,33.7294,0.0,2023-03-01
BIT-4339681,2023-04-23,Italy - Italy,LIN-BDS-MXP,AZ,AZ|FR,TXIT,Return,Desktop,1,-4.602779700000005,-5.0,82.37,0.0,0.07,0.0,0.0,2023-03-01
BIT-4339683,2023-03-12,Italy - Italy,BDS-LIN-BDS,AZ,AZ|AZ,TXIT,Return,Desktop,1,-3.466011299999993,-5.0,211.03,0.0,1.4,0.0,0.0,2023-03-01
BIT-4339697,2023-03-07,Italy - Italy,LIN-PSR-BGY,AZ,AZ|FR,TXIT,Return,Mobile,1,-5.091699299999989,-5.0,89.08999999999999,0.0,0.2,0.0,0.0,2023-03-01
BIT-4339703,2023-03-10,Italy - Spain,FCO-BCN-FCO,AZ,AZ | AZ,TXIT,Return,Desktop,1,1.987625999999999,-5.0,178.96,0.0,2.94,0.6553000000000001,0.0,2023-03-01
BIT-4339712,2023-03-16,Denmark - Italy,BLL-FRA-VCE,LH,LH | LH,TXIT,One Way,Desktop,3,65.62815509999996,-18.0,1713.21,0.0,1.32,12.3753,73.47,2023-03-01
BIT-4339730,2023-03-30,Australia - Indonesia,SYD-ADL-DPS,VA,VA | VA,TXTRIPIT,One Way,Mobile,1,5.290474032000033,-9.0,229.485288,0.0,0.0,0.0,16.58,2023-03-01
BIT-4339760,2023-03-12,Italy - Italy,CTA-LIN-CTA,AZ,AZ|AZ,TXIT,Return,Desktop,1,-2.125627500000012,-5.0,215.28,0.0,1.39,0.0,0.0,2023-03-01
BIT-4339790,2023-03-05,Italy - Italy,LIN-NAP,AZ,AZ,TXIT,One Way,Desktop,1,-4.125789899999994,-5.0,106.1,0.0,0.65,0.0,0.0,2023-03-01
BIT-4339835,2023-06-10,Italy - Italy,LIN-PMO-LIN,AZ,AZ | AZ,TXIT,Return,Desktop,1,-3.636465899999997,-5.0,123.9,0.0,0.31,0.0,0.0,2023-03-01
BIT-4339871,2023-03-09,Tunisia - Italy,TUN-PMO,TU,UG,TXNL,One Way,Desktop,1,-4.1007171,-5.0,131.87,0.0,0.0,0.0,0.0,2023-03-01
BIT-4339912,2023-03-13,Italy - Italy,NAP-LIN,AZ,AZ,TXIT,One Way,Desktop,1,-5.804555399999998,-5.0,59.01,0.0,0.17,0.0,0.0,2023-03-01
BIT-4339926,2023-03-01,Italy - Italy,SUF-FCO,AZ,AZ,TXIT,One Way,Mobile,1,-4.760091299999998,-5.0,119.61,0.0,0.89,0.0,0.0,2023-03-01
BIT-4339954,2023-05-20,Italy - Italy,LIN-BDS-BGY,AZ,AZ|FR,TXIT,Return,Desktop,1,-4.138629600000003,-5.0,91.73,0.0,0.21,0.0,0.0,2023-03-01
BIT-4340004,2023-08-31,Brazil - Brazil,FOR-GRU,G3,G3,TXTRIPIT,One Way,Desktop,2,-0.3591537059999687,-12.3493,305.345946,0.0,0.0,0.0,14.04,2023-03-01
BIT-4340223,2023-03-17,Italy - Italy,GOA-FCO-BRI,AZ,AZ | AZ,TXIT,One Way,Desktop,1,-2.741933099999988,-5.0,158.15,0.0,1.24,0.0,0.0,2023-03-01
BIT-4340214,2023-04-08,Italy - Greece,BRI-CHQ-BRI,FR,FR|FR,TF,Return,Desktop,2,-10.55585099999999,-9.0,217.14,0.0,0.0,0.0,0.0,2023-03-01
BIT-4340197,2023-03-08,Italy - Thailand,MXP-MCT-BKK-MCT-MXP,WY,WY | WY | WY | WY,TXIT,Return,Desktop,1,3.468639900000051,-18.0,698.6999999999999,0.0,3.32,8.217,0.0,2023-03-01
BIT-4340168,2023-04-08,Italy - Greece,BRI-CHQ-BRI,FR,FR | FR,TF,Return,Desktop,1,-5.834177699999999,-5.0,108.57,0.0,0.0,0.0,0.0,2023-03-01
BIT-4340141,2023-03-15,Italy - Italy,CAG-LIN,AZ,AZ,TXIT,One Way,Desktop,1,34.5482964,-5.0,105.8,37.99,0.82,0.0,18.0,2023-03-01
BIT-4340116,2023-03-23,Italy - Italy,PMO-FCO,AZ,AZ,TXIT,One Way,Desktop,1,-4.721369999999999,-5.0,88.97,0.0,0.5,0.0,0.0,2023-03-01
BIT-4339622,2023-04-01,Italy - Italy,CTA-MXP-CTA,FR,FR | FR,TF,Return,Mobile,2,-5.6999169,-5.0,84.3,0.0,0.0,0.0,0.0,2023-03-01
BIT-4340104,2023-03-10,Italy - Italy,CAG-FCO-SUF-FCO-CAG,AZ,AZ | AZ | AZ | AZ,TXIT,Return,Desktop,1,-1.394674500000005,-9.2536,229.68,0.0,1.66,0.0,0.0,2023-03-01
BIT-4340061,2023-03-07,Italy - Tunisia,MXP-TUN-MXP,TU,TU | TU,TXGB,Return,Mobile,1,-6.240647216999979,-10.6316,266.348947,0.0,0.0,0.0,0.0,2023-03-01
BIT-4340052,2023-04-12,India - United Arab Emirates,BOM-AUH,EY,EY,TXIN,One Way,Desktop,1,-4.202968831199996,-5.0,142.4927292,0.0,0.0,0.0,0.0,2023-03-01
BIT-4340042,2023-03-02,Italy - Italy,NAP-LIN,AZ,AZ,TXIT,One Way,Mobile,1,-5.156908799999997,-5.0,106.48,0.0,0.7,0.0,0.0,2023-03-01
BIT-4340033,2023-04-05,Italy - Guatemala,FCO-MAD-GUA-MAD-FCO,IB,IB | IB | IB | IB,TXIT,Return,Desktop,1,-4.612080899999979,-18.0,847.3399999999999,0.0,0.48,0.0,0.0,2023-03-01
BIT-4340010,2023-03-20,Italy - Italy,NAP-LIN,AZ,AZ,TXIT,One Way,Desktop,1,-5.804555399999998,-5.0,59.01,0.0,0.17,0.0,0.0,2023-03-01
BIT-4340005,2023-05-13,Italy - Italy,VCE-NAP,W6,W6,TF,One Way,Desktop,2,-7.484938500000002,-4.49,36.52,0.0,0.0,0.0,-1.02,2023-03-01
BIT-4340081,2023-04-06,Italy - Norway,VCE-BRU-OSL-TOS-OSL-ZRH-VCE,SK,SN | SK | SK | SK | SK | LX,TXNL,Return,Desktop,2,151.455888,-18.0,940.16,0.0,0.0,0.0,103.84,2023-03-01
BIT-4339606,2023-07-20,South Africa - South Africa,JNB-HDS,4Z,4Z,BCDZA02,One Way,Desktop,4,3.389645536319954,-16.5106,409.45903488,0.0,0.4924416,0.0,2.84,2023-03-01
BIT-4339557,2023-04-11,Italy - Spain,VCE-MAD,IB,IB,TXIT,One Way,Mobile,1,34.71713339999999,-5.0,145.57,35.59,0.12,0.0,20.0,2023-03-01
BIT-4339544,2023-03-06,Italy - Italy,FCO-BRI-FCO,AZ,AZ|FR,TXIT,Return,Desktop,2,5.105954400000001,-5.0,196.28,7.98,0.56,0.0,0.0,2023-03-01
BIT-4339313,2023-03-10,Italy - Italy,NAP-LIN-NAP,AZ,AZ|AZ,TXIT,Return,Desktop,1,-3.398476499999992,-5.0,133.47,0.0,0.46,0.0,0.0,2023-03-01
BIT-4339293,2023-03-03,Italy - Morocco,BLQ-CMN,AT,AT,TXTRIPIT,One Way,Mobile,1,-4.194842210999973,-5.0,156.479601,0.0,0.0,0.0,1.98,2023-03-01
BIT-4339259,2023-03-04,Italy - Italy,LIN-AHO-LIN,AZ,AZ | AZ,TXIT,Return,Desktop,1,-3.191828100000003,-5.0,191.56,0.0,1.66,0.0,0.0,2023-03-01
BIT-4339245,2023-03-05,Italy - Italy,LIN-PMO,AZ,AZ,TXIT,One Way,Mobile,1,-4.446883499999999,-5.0,93.25,0.0,0.5,0.0,0.0,2023-03-01
BIT-4339239,2023-04-13,Italy - Norway,BRI-MUC-OSL,LH,EN | LH,TXIT,One Way,Mobile,1,12.08781929999999,-9.4616,236.37,22.0,0.17,1.5887,22.0,2023-03-01
BIT-4339230,2023-03-25,Italy - Italy,NAP-BGY-NAP,FR,FR|FR,TF,Return,Desktop,2,-6.683316600000014,-5.0,78.02000000000001,0.0,0.0,0.0,0.01,2023-03-01
BIT-4339335,2023-07-28,Italy - Indonesia,FCO-SAW-IST-CGK-IST-FCO,TK,TK | TK | TK | TK,TXUS,Return,Desktop,2,12.98570053199975,-18.0,2066.576688,0.0,0.0,61.9152,0.0,2023-03-01
BIT-4339229,2023-03-08,Italy - Italy,FCO-BDS,AZ,AZ,TXIT,One Way,Mobile,1,-4.287650999999995,-5.0,67.38,0.0,0.15,0.0,0.0,2023-03-01
BIT-4339215,2023-08-23,Italy - Vietnam,VCE-DXB-HAN-SGN-DXB-VCE,EK,EK | EK | EK | EK,TXIT,Return,Desktop,2,124.3907103,-18.0,2377.58,120.0,1.48,21.5852,0.0,2023-03-01
BIT-4339188,2023-04-04,Italy - Vietnam,BLQ-IST-SGN-IST-BLQ,TK,TK | TK | TK | TK,TXIT,Return,Mobile,2,165.9821382000001,-18.0,2517.48,37.08,0.0,76.755,17.84,2023-03-01
BIT-4339167,2023-03-07,Tunisia - Italy,TUN-MXP-TUN,TU,TU | TU,TXNL,Return,Mobile,2,44.7230004,-18.0,523.7,49.98,0.0,0.0,0.0,2023-03-01
BIT-4339160,2023-05-26,Italy - United States,FCO-ZRH-DEN-LAS-ZRH-FCO,LX,BT | WK | WK | BT,TXIT,Return,Desktop,1,24.18686069999994,-18.0,935.2700000000001,76.69,0.55,0.0,0.0,2023-03-01
BIT-4339157,2023-12-20,Argentina - Argentina,AEP-IGR-AEP,AR,AR|AR,CONAR,Return,Desktop,2,12.12294733615198,-10.1533,318.009454168,26.88,0.0,0.0,0.9,2023-03-01
BIT-4339144,2023-03-01,Denmark - Italy,CPH-ZRH-MXP,LX,BT | 2L,TXIT,One Way,Mobile,1,16.10452230000001,-12.2172,305.24,22.0,0.19,0.0,30.04,2023-03-01
BIT-4339225,2023-03-21,Italy - Italy,LIN-PMO,AZ,AZ,TXIT,One Way,Desktop,1,-4.312016099999998,-5.0,57.65,0.0,0.1,0.0,0.0,2023-03-01
BIT-4340241,2023-03-21,Morocco - Italy,CMN-FCO-GOA,AZ,AT | AZ,TXGR,One Way,Desktop,1,-8.091538499999997,-5.0,186.82,0.0,1.03,0.0,0.0,2023-03-01
BIT-4339339,2023-03-11,Morocco - Italy,AGA-CIA,FR,FR,TXTRIPIT,One Way,Mobile,1,-5.779645371,-5.0,42.280761,0.0,0.0,0.0,0.0,2023-03-01
BIT-4339366,2023-05-19,Italy - Kazakhstan,FCO-IST-NQZ-IST-FCO,TK,TK | TK | TK | TK,TXNL,Return,Desktop,2,63.8758899,-18.0,1277.4,15.98,0.0,34.86,0.0,2023-03-01
BIT-4339542,2023-03-27,United Kingdom - Italy,EMA-TSF,FR,FR,TF,One Way,Desktop,1,-4.3150491,-5.0,17.16,0.0,0.0,0.0,1.83,2023-03-01
BIT-4339527,2023-03-06,Italy - Italy,BRI-LIN,AZ,AZ,TXIT,One Way,Mobile,1,16.82293889999999,-5.0,133.61,20.0,1.07,0.0,20.0,2023-03-01
BIT-4339508,2023-04-13,Italy - Italy,MXP-BRI,FR,FR,TF,One Way,Desktop,2,-7.2356259,-5.0,39.14,0.0,0.0,0.0,0.0,2023-03-01
BIT-4339492,2023-03-14,Italy - Italy,LIN-PMO,AZ,AZ,TXIT,One Way,Desktop,1,-4.651408799999996,-5.0,66.55,0.0,0.2,0.0,0.0,2023-03-01
BIT-4339487,2023-03-02,Italy - Italy,FCO-BLQ,AZ,AZ,TXIT,One Way,Desktop,1,-0.6452202000000057,-5.0,90.15,3.99,0.38,0.0,0.0,2023-03-01
BIT-4339481,2023-03-28,Italy - Italy,FCO-CTA,AZ,AZ,TXIT,One Way,Mobile,1,-4.838241599999993,-5.0,71.35,0.0,0.18,0.0,0.0,2023-03-01
BIT-4339358,2023-04-22,Italy - Italy,CAG-VRN-CAG,FR,FR | FR,TF,Return,Desktop,4,-6.178928699999999,-5.0,157.43,0.0,0.0,0.0,-0.01000000000000156,2023-03-01
BIT-4339477,2023-06-20,Italy - France,CTA-FCO-CDG-FCO-CTA,AZ,AZ | AZ | AZ | AZ,TXIT,Return,Mobile,4,17.28981870000002,-18.0,691.74,0.0,8.96,2.0952,0.0,2023-03-01
BIT-4339434,2023-08-17,Italy - Spain,FLR-ZRH-PMI-ZRH-FLR,LX,2L | LX | LX | 2L,TXIT,Return,Desktop,7,-11.03668260000006,-18.0,1318.31,0.0,0.56,5.2028,0.0,2023-03-01
BIT-4339419,2023-03-11,Italy - Poland,FCO-WAW-FCO,W6,W6|W6,TF,Return,Desktop,1,-10.38923820000001,-0.96,154.51,0.0,0.0,0.0,-0.08,2023-03-01
BIT-4339412,2023-03-09,Italy - Italy,BRI-LIN,AZ,AZ,TXIT,One Way,Desktop,1,-4.630885500000002,-5.0,86.13000000000001,0.0,0.55,0.0,0.0,2023-03-01
BIT-4339390,2023-03-16,Italy - Italy,LIN-NAP,AZ,AZ,TXIT,One Way,Mobile,1,-4.446681299999999,-5.0,49.68,0.0,0.07,0.0,0.0,2023-03-01
BIT-4339387,2023-03-13,Germany - Maldives,MUC-DOH-MLE-DOH-BCN,QR,QR | QR | QR | QR,CTDE,One Way,Desktop,1,-0.3109835999997924,-18.0,791.29,0.0,0.0,16.98,280.05,2023-03-01
BIT-4341318,2023-03-04,Italy - Italy,NAP-LIN-NAP,AZ,AZ|AZ,TXGR,Return,Desktop,1,-3.249455099999997,-5.0,139.4,0.0,0.53,0.0,0.0,2023-03-01
BIT-4339472,2023-03-13,Italy - Italy,TRS-FCO-TRS,AZ,AZ | AZ,TXIT,Return,Desktop,1,-3.4195053,-5.0,162.44,0.0,0.72,0.0,0.0,2023-03-01
BIT-4339142,2023-03-20,Italy - Italy,REG-FCO-REG,AZ,AZ|AZ,TXIT,Return,Mobile,1,-3.4590354,-5.0,126.26,0.0,0.39,0.0,0.0,2023-03-01
BIT-4340260,2023-03-09,Italy - Italy,LIN-CAG-LIN,AZ,AZ|AZ,TXIT,Return,Mobile,1,-3.683477399999997,-5.0,207.56,0.0,1.81,0.0,0.0,2023-03-01
BIT-4340284,2023-03-27,Spain - Italy,MAD-MXP,IB,IB,TXIT,One Way,Desktop,1,-6.952849200000001,-5.0,101.3,0.0,0.08,0.0,0.0,2023-03-01
BIT-4340765,2023-03-24,Italy - Italy,CTA-LIN-CTA,AZ,AZ|W6,TXIT,Return,Mobile,2,-2.796628200000004,-5.0,185.74,0.0,0.68,0.0,0.0,2023-03-01
BIT-4340772,2023-03-14,Italy - Italy,FCO-NAP,AZ,AZ,TXIT,One Way,Desktop,1,-3.758999099999993,-5.0,114.85,0.0,0.68,0.0,0.0,2023-03-01
BIT-4340787,2023-08-04,Italy - Italy,MXP-CTA-LIN,FR,FR|AZ,TF,Return,Desktop,1,-3.226606499999999,-5.0,223.54,0.0,0.88,0.0,0.81,2023-03-01
BIT-4340800,2023-03-17,Italy - Italy,LIN-CTA,AZ,AZ,TXIT,One Way,Mobile,1,-4.287145499999992,-5.0,65.57,0.0,0.18,0.0,0.0,2023-03-01
BIT-4340814,2023-03-07,Italy - Italy,NAP-LIN,AZ,AZ,TXIT,One Way,Mobile,1,-5.981379299999998,-5.0,59.01,0.0,0.17,0.0,0.0,2023-03-01
BIT-4340828,2023-08-15,South Africa - South Africa,JNB-HDS-JNB,4Z,4Z|4Z,BCDZA02,Return,Mobile,1,0.3935641828799803,-5.0,207.21121792,0.0,0.2462208,0.0,0.0,2023-03-01
BIT-4340833,2023-04-20,Italy - Italy,CTA-FCO,FR,FR,TF,One Way,Mobile,1,-6.469995599999999,-5.0,19.35,0.0,0.0,0.0,0.0,2023-03-01
BIT-4340839,2023-04-07,Poland - Italy,WRO-CIA,FR,FR,TF,One Way,Desktop,1,-7.048692000000004,-5.0,88.82000000000001,8.4,0.0,0.0,-9.56,2023-03-01
BIT-4340863,2023-07-28,Egypt - Italy,CAI-MXP,SM,SM,CTDE,One Way,Mobile,1,-6.761568,-5.0,189.86,0.0,0.0,3.76,0.0,2023-03-01
BIT-4340864,2023-03-04,Morocco - Italy,CMN-BLQ,AZ,AT,TXUS,One Way,Desktop,1,-6.244570908000014,-5.0,172.088928,0.0,0.0,0.0,0.0,2023-03-01
BIT-4340865,2023-03-28,Italy - Italy,LIN-NAP-LIN,W6,W6|AZ,TF,Return,Desktop,1,-5.504996099999991,-5.0,72.44,0.0,0.1,0.0,0.64,2023-03-01
BIT-4340876,2023-03-21,Italy - Italy,BRI-LIN,AZ,AZ,TXIT,One Way,Mobile,1,-4.245290099999997,-5.0,46.44,0.0,0.17,0.0,0.0,2023-03-01
BIT-4340957,2023-06-26,Italy - United States,MXP-FRA-SFO,DE,LH | DE,TXNL,One Way,Mobile,2,20.28278309999999,-18.0,1314.74,30.0,0.0,0.0,0.0,2023-03-01
BIT-4340961,2023-03-02,Italy - Italy,LIN-SUF,AZ,AZ,TXIT,One Way,Desktop,1,16.6611789,-5.0,132.76,20.0,0.94,0.0,20.0,2023-03-01
BIT-4340996,2023-03-30,Italy - Italy,LIN-BRI,AZ,AZ,TXIT,One Way,Desktop,1,-4.446681300000001,-5.0,49.68,0.0,0.07,0.0,0.0,2023-03-01
BIT-4340998,2023-03-06,Italy - Italy,PMO-FCO,AZ,AZ,TXIT,One Way,Mobile,1,-3.736959300000001,-5.0,108.75,0.0,0.72,0.0,0.0,2023-03-01
BIT-4341007,2023-08-15,Cambodia - Italy,PNH-TPE-MXP,BR,BR | BR,TXSG,One Way,Mobile,3,44.98776108000015,-18.0,1906.58682,35.97,0.0,0.0,0.0,2023-03-01
BIT-4341303,2023-07-14,Italy - South Africa,VCE-IST-CPT-JNB-IST-VCE,TK,TK | TK | TK | TK,TXNL,Return,Desktop,3,136.6180476,-18.0,4694.12,0.0,0.0,176.5575,0.0,2023-03-01
BIT-4341233,2023-03-27,Italy - Vietnam,MXP-DOH-HAN-SGN-DOH-MXP,QR,QR | QR | QR | QR,TXIT,Return,Desktop,2,-0.4658687999999415,-18.0,1921.56,0.0,1.04,58.2232,-64.6,2023-03-01
BIT-4341207,2023-03-02,Italy - Italy,FCO-VCE,AZ,AZ,TXIT,One Way,Desktop,1,-4.788399299999994,-5.0,77.27,0.0,0.26,0.0,0.0,2023-03-01
